tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,_source,_source_file,_source_year,_retrieved_at,_original_row_number,_match_key,_dedup_status,_year_conflict,_stat_integrity_conflicts,_winner_name_normalized,_loser_name_normalized,_tourney_name_normalized,_round_normalized,_surface_normalized
2017-2205,Noumea,Hard,32,C,,20170107,1,ME82,1,,Adrian Mannarino,L,180,FRA,28.526,60,791,V832,,,Aleksandar Vukic,R,188,AUS,20.756,761,26,6-1 6-2,3,R32,57,2,2,44,20,17,17,8,4,4,1,1,50,25,14,9,7,6,10,TennisMyLife,2017_challenger.csv,2017,2026-08-23T06:37:21.010456+00:00,2,1d7e3766adc7eb7ad56b28bcd41e444f,NEW_MATCH,0,,adrian mannarino,aleksandar vukic,noumea,r32,hard
2017-2205,Noumea,Hard,32,C,,20170107,2,CF59,2,,Roberto Carballes Baena,R,183,ESP,23.795,145,419,DC38,,,Jake Delaney,R,185,AUS,19.652,943,14,6-2 6-3,3,R32,75,2,1,46,26,20,12,8,1,2,3,7,58,31,19,9,9,8,13,TennisMyLife,2017_challenger.csv,2017,2026-08-23T06:37:21.010456+00:00,3,b5524a684a275ddc13e2e5b65328dee9,NEW_MATCH,0,,roberto carballes baena,jake delaney,noumea,r32,hard
2017-2205,Noumea,Hard,32,C,,20170107,3,N771,,,Cameron Norrie,L,188,GBR,21.377,276,183,LE01,3,,Duckhee Lee,R,170,KOR,18.612,149,411,6-4 6-4,3,R32,81,3,2,52,36,25,9,10,1,3,1,0,69,41,28,10,10,3,7,TennisMyLife,2017_challenger.csv,2017,2026-08-23T06:37:21.010456+00:00,4,36aeb6987c9a0f53500fbf8226be0262,NEW_MATCH,0,,cameron norrie,duckhee lee,noumea,r32,hard
2017-2205,Noumea,Hard,32,C,,20170107,4,HB64,4,,Quentin Halys,R,191,FRA,20.2,153,399,BU57,,,Romain Bousquet,,,FRA,27.288,,,6-0 6-1,3,R32,,,,,,,,,,,,,,,,,,,,TennisMyLife,2017_challenger.csv,2017,2026-08-23T06:37:21.010456+00:00,5,563c337e252ac34dee44695db433bb69,NEW_MATCH,0,,quentin halys,romain bousquet,noumea,r32,hard
2017-2205,Noumea,Hard,32,C,,20170107,5,D750,5,,Kenny De Schepper,L,203,FRA,29.613,162,369,H896,,,Jose Hernandez-Fernandez,R,183,DOM,26.823,240,216,4-6 6-3 6-1,3,R32,119,6,3,83,53,39,14,13,5,7,2,4,79,47,27,17,13,2,7,TennisMyLife,2017_challenger.csv,2017,2026-08-23T06:37:21.010456+00:00,6,382a92ba87322792084961aabe30a7be,NEW_MATCH,0,,kenny de schepper,jose hernandez fernandez,noumea,r32,hard
2017-2205,Noumea,Hard,32,C,,20170107,6,LC11,,,Tristan Lamasine,R,183,FRA,23.844,212,250,N674,6,,Dennis Novikov,R,193,USA,23.17,169,343,6-4 7-6(4),3,R32,93,4,2,87,59,39,20,11,6,6,7,5,69,42,31,17,11,1,2,TennisMyLife,2017_challenger.csv,2017,2026-08-23T06:37:21.010456+00:00,7,a02b4f8868018d0e695ff7887e0b4efe,NEW_MATCH,0,,tristan lamasine,dennis novikov,noumea,r32,hard
2017-2205,Noumea,Hard,32,C,,20170107,7,MB53,,,Adrian Menendez-Maceiras,R,183,ESP,31.195,236,218,N679,7,,Stefano Napolitano,R,196,ITA,21.744,172,331,7-6(1) 6-4,3,R32,97,1,1,63,34,25,19,11,1,3,3,1,64,40,27,9,11,1,4,TennisMyLife,2017_challenger.csv,2017,2026-08-23T06:37:21.010456+00:00,8,6f37f6c66878a436128dc7111dbdf507,NEW_MATCH,0,,adrian menendez maceiras,stefano napolitano,noumea,r32,hard
2017-2205,Noumea,Hard,32,C,,20170107,8,BK19,8,,Mathias Bourgue,R,188,FRA,22.971,183,314,KC12,,,Mitchell Krueger,R,188,USA,22.987,216,244,6-1 6-4,3,R32,86,8,3,65,39,31,10,9,7,8,3,0,55,34,19,9,8,5,9,TennisMyLife,2017_challenger.csv,2017,2026-08-23T06:37:21.010456+00:00,9,1aa71833f44f53d263ee7541cb84cefb,NEW_MATCH,0,,mathias bourgue,mitchell krueger,noumea,r32,hard
2017-2205,Noumea,Hard,32,C,,20170107,9,F444,,,Alejandro Falla,L,185,COL,33.15,273,187,MJ69,,,Luca Margaroli,R,183,SUI,24.895,864,18,6-2 3-6 6-2,3,R32,99,1,3,79,47,35,16,13,6,9,3,4,74,38,23,14,12,1,6,TennisMyLife,2017_challenger.csv,2017,2026-08-23T06:37:21.010456+00:00,10,d6e1163d7ee2ce67fc62a4632ca44b37,NEW_MATCH,0,,alejandro falla,luca margaroli,noumea,r32,hard
2017-2205,Noumea,Hard,32,C,,20170107,10,KD70,,,Pedja Krstin,R,183,SRB,22.346,224,237,B0CZ,,,Alexander Blasco,,,NCL,,,,6-0 6-0,3,R32,,,,,,,,,,,,,,,,,,,,TennisMyLife,2017_challenger.csv,2017,2026-08-23T06:37:21.010456+00:00,11,0cbe70d6f986698cc81c0228dbf59ae6,NEW_MATCH,0,,pedja krstin,alexander blasco,noumea,r32,hard
2017-2205,Noumea,Hard,32,C,,20170107,11,MM66,,,Nikola Milojevic,R,188,SRB,21.555,238,217,G602,,,Andre Ghem,R,193,BRA,34.612,218,243,6-3 6-3,3,R32,73,7,1,43,30,24,10,9,0,1,3,4,69,38,22,14,9,4,8,TennisMyLife,2017_challenger.csv,2017,2026-08-23T06:37:21.010456+00:00,12,6a8daeb7a0f7add54c30a75651133005,NEW_MATCH,0,,nikola milojevic,andre ghem,noumea,r32,hard
2017-2205,Noumea,Hard,32,C,,20170107,12,MW02,,,Corentin Moutet,L,180,FRA,17.722,533,66,BH87,,,Maverick Banes,R,,AUS,24.745,396,111,6-4 6-4,3,R32,63,2,1,59,35,24,19,10,1,2,0,5,78,52,31,13,10,7,10,TennisMyLife,2017_challenger.csv,2017,2026-08-23T06:37:21.010456+00:00,13,f237337383deb7859468406b84591e70,NEW_MATCH,0,,corentin moutet,maverick banes,noumea,r32,hard
2017-2205,Noumea,Hard,32,C,,20170107,13,RC96,,,Noah Rubin,R,175,USA,20.879,200,274,MJ71,,,Mats Moraing,L,198,GER,24.55,454,87,6-3 7-6(1),3,R32,72,5,2,72,41,36,14,11,2,3,13,5,62,38,29,10,10,4,6,TennisMyLife,2017_challenger.csv,2017,2026-08-23T06:37:21.010456+00:00,14,e28b62c1bd767cc69d481bf1849e69cb,NEW_MATCH,0,,noah rubin,mats moraing,noumea,r32,hard
2017-2205,Noumea,Hard,32,C,,20170107,14,SF89,,,Rubin Statham,R,180,NZL,29.706,461,86,N604,,,Nicolas N'Godrela,,,FRA,32.255,1220,5,6-3 6-1,3,R32,,,,,,,,,,,,,,,,,,,,TennisMyLife,2017_challenger.csv,2017,2026-08-23T06:37:21.010456+00:00,15,fd8747d5f89575f0ec23e272ae7880d0,NEW_MATCH,0,,rubin statham,nicolas n godrela,noumea,r32,hard
2017-2205,Noumea,Hard,32,C,,20170107,15,TA04,,,Finn Tearney,R,183,NZL,26.281,494,77,P0BZ,,,Joanick Pattoua,,,NCL,,,,6-0 6-0,3,R32,,,,,,,,,,,,,,,,,,,,TennisMyLife,2017_challenger.csv,2017,2026-08-23T06:37:21.010456+00:00,16,338600789fc76f5cfbdf6ecc3bfe9fb3,NEW_MATCH,0,,finn tearney,joanick pattoua,noumea,r32,hard
2017-2205,Noumea,Hard,32,C,,20170107,16,TE51,,,Stefanos Tsitsipas,R,193,GRE,18.407,210,260,CC32,,,Guilherme Clezar,R,180,BRA,24.019,220,239,6-3 7-5,3,R32,74,12,2,63,34,31,16,11,2,2,3,4,56,34,28,9,10,1,3,TennisMyLife,2017_challenger.csv,2017,2026-08-23T06:37:21.010456+00:00,17,66b3e43094ad0dd37ce708f3ab907442,NEW_MATCH,0,,stefanos tsitsipas,guilherme clezar,noumea,r32,hard
2017-2205,Noumea,Hard,32,C,,20170107,17,ME82,1,,Adrian Mannarino,L,180,FRA,28.526,60,791,SF89,,,Rubin Statham,R,180,NZL,29.706,461,86,6-2 6-1,3,R16,62,5,0,35,18,15,13,7,0,0,0,4,56,40,21,5,8,3,8,TennisMyLife,2017_challenger.csv,2017,2026-08-23T06:37:21.010456+00:00,18,6ab48766f92f0e75322d903e232e5d64,NEW_MATCH,0,,adrian mannarino,rubin statham,noumea,r16,hard
2017-2205,Noumea,Hard,32,C,,20170107,18,CF59,2,,Roberto Carballes Baena,R,183,ESP,23.795,145,419,MW02,,,Corentin Moutet,L,180,FRA,17.722,533,66,7-6(3) 6-0,3,R16,100,3,2,68,47,31,9,9,6,9,1,2,58,33,15,10,9,4,10,TennisMyLife,2017_challenger.csv,2017,2026-08-23T06:37:21.010456+00:00,19,710094ad8358bee0511641755740431f,NEW_MATCH,0,,roberto carballes baena,corentin moutet,noumea,r16,hard
2017-2205,Noumea,Hard,32,C,,20170107,19,MM66,,,Nikola Milojevic,R,188,SRB,21.555,238,217,HB64,4,,Quentin Halys,R,191,FRA,20.2,153,399,6-2 4-6 7-6(5),3,R16,153,2,5,117,65,44,28,15,8,11,9,8,95,50,43,18,15,5,9,TennisMyLife,2017_challenger.csv,2017,2026-08-23T06:37:21.010456+00:00,20,9cf41a29f14dc518b192649c74ab9ee1,NEW_MATCH,0,,nikola milojevic,quentin halys,noumea,r16,hard
